Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,12.26,13.7,16.07,18.87,20.54,21.59,20.78,18.13,14.74,12.43,12.08,12.1,12.62,13.88,16.13,17.87,19.27,19.38
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,3.93,5.77,7.33,7.88,6.76,6.99,7.16,8.43,8.6,9.97,11.36,12.1,10.83,10.16,11,12.7,11.31,11.39
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,7.09,7.3,7.4,7.47,7.76,8.65,8.66,9.1,8.78,9.65,10.65,11.48,12.22,12.05,12.68,12.65,15.02,15.24
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,18.13,19.1,19.53,19.84,19.9,20.25,20.39,19.12,17.33,15.95,16.1,15.9,15.17,14.11,13.65,13.95,14.43,16.29
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,3.3,3.33,3.01,2.52,1.95,1.47,2.46,4.93,4.73,3.39,0.63,1.14,3.09,5,6.64,6.25,5.63,4.3
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,8.62,8.3,7.33,7.56,7.25,7.7,7.98,10.3,12.38,14.07,13.04,11.94,10.96,10.95,10.52,9.61,10.33,14.45
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,7.94,8.02,7.93,7.67,6.91,6.05,5.31,5.09,5.38,6.28,7.12,8.44,9.32,10.82,10.82,9.86,7.59,5.42
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,9.08,9.49,9.86,11.03,12.34,13.42,13.97,15.19,15.76,16.63,18.13,19.16,17.82,15.58,14.11,13.46,11.96,10.23
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,6.18,6.6,7.23,8,8.29,7.75,6.69,5.86,6.36,6.87,7.29,7.14,8.54,10.59,11.92,11.36,8.44,5.86
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,4.24,3.95,3.84,3.26,3.03,4.47,5.58,5.64,7.36,13.34,20.63,25.07,24.02,22.38,20.74,20.3,19.91,19.35
